date,location,new_cases,total_cases,new_deaths,total_deaths,new_recoveries,total_recoveries,active_cases
2023-01-29,USA,2780,90309,25,1303,2924.0,38353.0,50653.0
2023-01-30,USA,2335,92644,22,1325,2449.0,40802.0,50517.0
2023-01-31,USA,1177,93821,10,1335,3081.0,43883.0,48603.0
2023-02-01,USA,2928,96749,63,1398,3430.0,47313.0,48038.0
2023-02-02,USA,1674,98423,29,1427,2312.0,49625.0,47371.0
2023-02-03,USA,1888,100311,18,1445,2717.0,52342.0,46524.0
2023-02-04,USA,2537,102848,34,1479,2371.0,54713.0,46656.0
2023-02-05,USA,2179,105027,17,1496,2046.0,56759.0,46772.0
2023-02-06,USA,1884,106911,17,1513,2353.0,59112.0,46286.0
2023-02-07,USA,2596,109507,44,1557,2700.0,61812.0,46138.0
2023-02-08,USA,2120,111627,31,1588,2233.0,64045.0,45994.0
2023-02-09,USA,1647,113274,2,1590,1835.0,65880.0,45804.0
2023-02-10,USA,1448,114722,42,1632,1844.0,67724.0,45366.0
2023-02-11,USA,2329,117051,35,1667,2163.0,69887.0,45497.0
2023-02-12,USA,2580,119631,33,1700,2046.0,71933.0,45998.0
2023-02-13,USA,2707,122338,42,1742,2032.0,73965.0,46631.0
2023-02-14,USA,3352,125690,45,1787,909.0,74874.0,49029.0
2023-02-15,USA,2769,128459,35,1822,2584.0,77458.0,49179.0
2023-02-16,USA,2860,131319,31,1853,1487.0,78945.0,50521.0
2023-02-17,USA,2344,133663,28,1881,1460.0,80405.0,51377.0
2023-02-18,USA,3637,137300,49,1930,1791.0,82196.0,53174.0
2023-02-19,USA,4016,141316,43,1973,1956.0,84152.0,55191.0
2023-02-20,USA,3991,145307,44,2017,1613.0,85765.0,57525.0
2023-02-21,USA,3149,148456,38,2055,2168.0,87933.0,58468.0
2023-02-22,USA,4061,152517,48,2103,1510.0,89443.0,60971.0
2023-02-23,USA,4115,156632,43,2146,1430.0,90873.0,63613.0
2023-02-24,USA,4181,160813,58,2204,1160.0,92033.0,66576.0
2023-02-25,USA,3532,164345,51,2255,1849.0,93882.0,68208.0
2023-02-26,USA,4404,168749,56,2311,1886.0,95768.0,70670.0
2023-02-27,USA,5151,173900,59,2370,2132.0,97900.0,73630.0
2023-02-28,USA,4421,178321,66,2436,2918.0,100818.0,75067.0
2023-03-01,USA,4382,182703,61,2497,1940.0,102758.0,77448.0
2023-03-02,USA,4282,186985,44,2541,2228.0,104986.0,79458.0
2023-03-03,USA,4988,191973,64,2605,1969.0,106955.0,82413.0
2023-03-04,USA,5174,197147,81,2686,2772.0,109727.0,84734.0
2023-03-05,USA,4648,201795,66,2752,2854.0,112581.0,86462.0
2023-03-06,USA,4745,206540,73,2825,2877.0,115458.0,88257.0
2023-03-07,USA,4861,211401,77,2902,2340.0,117798.0,90701.0
2023-03-08,USA,5167,216568,78,2980,3293.0,121091.0,92497.0
2023-03-09,USA,4624,221192,57,3037,2914.0,124005.0,94150.0
2023-03-10,USA,4515,225707,75,3112,3013.0,127018.0,95577.0
2023-03-11,USA,3696,229403,52,3164,2717.0,129735.0,96504.0
2023-03-12,USA,4305,233708,61,3225,3419.0,133154.0,97329.0
2023-03-13,USA,4795,238503,77,3302,4582.0,137736.0,97465.0
2023-03-14,USA,4360,242863,78,3380,3443.0,141179.0,98304.0
2023-03-15,USA,4544,247407,65,3445,3903.0,145082.0,98880.0
2023-03-16,USA,3160,250567,44,3489,3393.0,148475.0,98603.0
2023-03-17,USA,3562,254129,57,3546,4179.0,152654.0,97929.0
2023-03-18,USA,2998,257127,48,3594,4484.0,157138.0,96395.0
2023-03-19,USA,2845,259972,53,3647,3897.0,161035.0,95290.0
2023-03-20,USA,3721,263693,62,3709,3375.0,164410.0,95574.0
2023-03-21,USA,3402,267095,51,3760,4256.0,168666.0,94669.0
2023-03-22,USA,3005,270100,40,3800,4364.0,173030.0,93270.0
2023-03-23,USA,3666,273766,45,3845,3688.0,176718.0,93203.0
2023-03-24,USA,2574,276340,50,3895,3275.0,179993.0,92452.0
2023-03-25,USA,3067,279407,43,3938,2696.0,182689.0,92780.0
2023-03-26,USA,3526,282933,51,3989,3080.0,185769.0,93175.0
2023-03-27,USA,3403,286336,45,4034,3902.0,189671.0,92631.0
2023-03-28,USA,4089,290425,57,4091,3713.0,193384.0,92950.0
2023-03-29,USA,3334,293759,41,4132,3479.0,196863.0,92764.0
2023-03-30,USA,2459,296218,45,4177,2330.0,199193.0,92848.0
2023-03-31,USA,3682,299900,36,4213,2653.0,201846.0,93841.0
2023-04-01,USA,2995,302895,37,4250,2665.0,204511.0,94134.0
2023-04-02,USA,3793,306688,54,4304,2295.0,206806.0,95578.0
2023-04-03,USA,3211,309899,34,4338,3176.0,209982.0,95579.0
2023-04-04,USA,3922,313821,47,4385,2445.0,212427.0,97009.0
2023-04-05,USA,3770,317591,63,4448,2129.0,214556.0,98587.0
2023-04-06,USA,4025,321616,36,4484,2624.0,217180.0,99952.0
2023-04-07,USA,4549,326165,45,4529,2253.0,219433.0,102203.0
2023-04-08,USA,4880,331045,70,4599,2507.0,221940.0,104506.0
2023-04-09,USA,3915,334960,54,4653,3024.0,224964.0,105343.0
2023-04-10,USA,4623,339583,85,4738,2644.0,227608.0,107237.0
